Postal Code,VIN,Stock Num,MSRP,Year,Make,Model,Ext. Warranty Miles,Lender,Purchase Date,Sales Type,Purchase Type,Sale Price
62702-3468,KNAFK4A66E5066042,K28238A,"$18,315.00 ",2014,KIA,FORTE,100391,HEARTLAND CREDIT UNION,11/16/2013 0:00,Used Vehicle,Finance,"$17,200.00 "
62704,3C4PDCAB3HT601812,29220,"$22,339.00 ",2017,DODGE,JOURNEY (2.4L),100000,,3/11/2017 0:00,New Vehicle,Cash,"$22,025.00 "
62711-7293,4S3BMCC6XC3018572,43784,"$23,500.00 ",2012,SUBARU,LEGACY 2.5I,48000,CONVERSION - DO NOT USE,5/19/2012 0:00,Used Vehicle,Cash,"$23,500.00 "
62563,3C4PDCAB2HT602126,29320,"$24,680.00 ",2017,DODGE,JOURNEY,0,ALLY FINANCIAL,4/14/2017 0:00,New Vehicle,Finance,"$24,680.00 "
62668,5XYKT3A16DG361547,44718B,"$18,994.00 ",2013,KIA,SORENTO,0,HEARTLAND CREDIT UNION,5/16/2015 0:00,Used Vehicle,Finance,"$18,994.00 "
62704-3288,1C6RR7JTXGS378802,27953,"$49,364.00 ",2016,DODGE TRUCK,RAM 1500,0,PNC BANK NA,11/19/2016 0:00,New Vehicle,Finance,"$45,407.00 "
62558,2D4GP44L77R115168,21354A,"$15,000.00 ",2007,DODGE,GRAND CARAVAN,0,CONVERSION - DO NOT USE,6/28/2010 0:00,Used Vehicle,Cash,"$15,000.00 "
62704-4629,4S4BSBNCXF3264833,44648,"$34,420.00 ",2015,SUBARU,OUTBACK,0,CONVERSION - DO NOT USE,11/24/2014 0:00,Used Vehicle,Cash,"$34,420.00 "
61925-8400,4S4BSENC1J3318868,46083,"$38,870.00 ",2018,SUBARU,OUTBACK,0,JP MORGAN CHASE BANK NA,3/10/2018 0:00,Used Vehicle,Finance,"$36,000.00 "
62703,3C4PDCBB9KT756211,2178,"$26,729.00 ",2019,DODGE,JOURNEY,75000,CHRYSLER CAPITAL,7/20/2019 0:00,New Vehicle,Finance,"$26,729.00 "
62675,5XYPH4A57KG465672,K200022,"$36,834.00 ",2019,KIA,SORENTO,99988,HEARTLAND CREDIT UNION,7/19/2018 0:00,New Vehicle,Finance,"$36,834.00 "
62663-0024,JF1GPAR65CH203758,43779,"$22,241.00 ",2012,SUBARU,IMPREZA WAGON,0,CEFCU,12/17/2011 0:00,New Vehicle,Finance,"$22,241.00 "
